x,y,z
0.115,0,0
0.115,0.01,0
0.115,0,0.0065
0.10542,2.1279e-18,0
0.10917,0.0059949,0
0.115,0.06,0
0.115,0.06,0.0065
0.115,0.05,0
0.10542,0.06,0
0.10917,0.054005,0
-2.0862e-09,0.06,0
-2.0862e-09,0.05,0
-2.0862e-09,0.06,0.0065
0.0095833,0.06,0
0.0069797,0.052894,0
-2.0862e-09,2.5535e-17,0
-2.0862e-09,2.5535e-17,0.0065
-2.0862e-09,0.01,0
0.0095833,2.3407e-17,0
0.0058298,0.0059949,0
-2.0862e-09,0.06,0.013
-2.0862e-09,0.05,0.013
0.0095833,0.06,0.013
0.0069797,0.052894,0.013
0.115,0.06,0.013
0.115,0.05,0.013
0.10542,0.06,0.013
0.10917,0.054005,0.013
0.115,0,0.013
0.115,0.01,0.013
0.10542,2.1279e-18,0.013
0.10917,0.0059949,0.013
-2.0862e-09,2.5535e-17,0.013
-2.0862e-09,0.01,0.013
0.0095833,2.3407e-17,0.013
0.0058298,0.0059949,0.013
-2.0862e-09,0.017067,0.0065
-2.0862e-09,0.02,0
0.0053279,0.015276,0
0.009448,0.021083,0
-2.0862e-09,0.03,0
-2.0862e-09,0.025333,0.0065
0.012755,0.03,0
-2.0862e-09,0.04,0
0.0095427,0.03877,0
-2.0862e-09,0.034722,0.0065
0.0054567,0.045016,0
-2.0862e-09,0.042944,0.0065
0.019167,0.06,0
0.014375,0.055067,0
0.016292,0.06,0.0065
0.023958,0.06,0.0065
0.02875,0.06,0
0.022387,0.052059,0
0.031744,0.053802,0
0.038333,0.06,0
0.033542,0.06,0.0065
0.043125,0.06,0.0065
0.044508,0.05394,0
0.03781,0.05141,0
0.047917,0.06,0
0.052708,0.06,0.0065
0.0575,0.06,0
0.052393,0.051401,0
0.061381,0.053955,0
0.062292,0.06,0.0065
0.067083,0.06,0
0.071875,0.06,0.0065
0.069172,0.052558,0
0.076667,0.06,0
0.081458,0.06,0.0065
0.083312,0.053678,0
0.076883,0.051202,0
0.08625,0.06,0
0.095833,0.06,0
0.092365,0.050387,0
0.091175,0.06,0.0063194
0.10077,0.054903,0
0.10145,0.06,0.0053866
0.115,0.045856,0.0053866
0.115,0.04,0
0.10967,0.045092,0
0.115,0.035139,0.0063194
0.10609,0.038878,0
0.115,0.03,0
0.115,0.025356,0.0064699
0.10225,0.03,0
0.10557,0.021286,0
0.115,0.02,0
0.115,0.017071,0.006494
0.10967,0.015276,0
0.10406,0.010889,0
0.097755,0.0071019,0
0.095833,4.2559e-18,0
0.098708,3.6175e-18,0.0065
0.091042,5.3198e-18,0.0065
0.08625,6.3838e-18,0
0.090834,0.0095967,0
0.081458,0.0065233,0
0.076667,8.5117e-18,0
0.081458,7.4477e-18,0.0065
0.072932,0.0096535,0
0.067083,1.064e-17,0
0.071875,9.5757e-18,0.0065
0.064002,0.0079617,0
0.0575,1.2768e-17,0
0.062292,1.1704e-17,0.0065
0.050226,0.0076952,0
0.056937,0.011201,0
0.052708,1.3832e-17,0.0065
0.047917,1.4895e-17,0
0.038333,1.7023e-17,0
0.04174,0.010004,0
0.043125,1.5959e-17,0.0065
0.02875,1.9151e-17,0
0.033454,0.0065193,0
0.033542,1.8087e-17,0.0065
0.024278,2.0144e-17,0.0065
0.024612,0.0090072,0
0.019167,2.1279e-17,0
0.017091,0.0069861,0
0.016356,2.1903e-17,0.0065
0.010936,0.010889,0
0.019167,0.06,0.013
0.014375,0.055067,0.013
0.02875,0.06,0.013
0.022387,0.052059,0.013
0.038333,0.06,0.013
0.031744,0.053802,0.013
0.047917,0.06,0.013
0.03781,0.05141,0.013
0.044508,0.05394,0.013
0.0575,0.06,0.013
0.052393,0.051401,0.013
0.067083,0.06,0.013
0.061381,0.053955,0.013
0.076667,0.06,0.013
0.069172,0.052558,0.013
0.08625,0.06,0.013
0.076883,0.051202,0.013
0.083312,0.053678,0.013
0.092365,0.050387,0.013
0.095833,0.06,0.013
0.10077,0.054903,0.013
0.115,0.04,0.013
0.10967,0.045092,0.013
0.115,0.03,0.013
0.10609,0.038878,0.013
0.115,0.02,0.013
0.10225,0.03,0.013
0.10557,0.021286,0.013
0.10967,0.015276,0.013
0.097755,0.0071019,0.013
0.095833,4.2559e-18,0.013
0.10406,0.010889,0.013
0.08625,6.3838e-18,0.013
0.090834,0.0095967,0.013
0.081458,0.0065233,0.013
0.076667,8.5117e-18,0.013
0.072932,0.0096535,0.013
0.067083,1.064e-17,0.013
0.064002,0.0079617,0.013
0.0575,1.2768e-17,0.013
0.056937,0.011201,0.013
0.047917,1.4895e-17,0.013
0.050226,0.0076952,0.013
0.04174,0.010004,0.013
0.038333,1.7023e-17,0.013
0.033454,0.0065193,0.013
0.02875,1.9151e-17,0.013
0.024612,0.0090072,0.013
0.019167,2.1279e-17,0.013
0.017091,0.0069861,0.013
0.010936,0.010889,0.013
-2.0862e-09,0.02,0.013
0.0053279,0.015276,0.013
0.009448,0.021083,0.013
-2.0862e-09,0.03,0.013
-2.0862e-09,0.04,0.013
0.0095427,0.03877,0.013
0.012755,0.03,0.013
0.0054567,0.045016,0.013
0.033617,0.029898,0
0.023484,0.027249,0
0.027233,0.036662,0
0.030754,0.021795,0
0.036637,0.03799,0
0.043895,0.029898,0
0.038645,0.020977,0
0.080724,0.031789,0
0.074669,0.021659,0
0.069072,0.030921,0
0.087356,0.022309,0
0.091852,0.031772,0
0.079238,0.041627,0
0.088263,0.039293,0
0.073354,0.037351,0
0.058411,0.034978,0
0.05699,0.024508,0
0.052341,0.030533,0
0.05223,0.040645,0
0.060756,0.045818,0
0.064172,0.025237,0
0.065724,0.038543,0
0.06703,0.016646,0
0.059719,0.017781,0
0.050538,0.019314,0
0.01754,0.017577,0
0.025535,0.016841,0
0.097245,0.040336,0
0.10306,0.047798,0
0.019217,0.042125,0
0.012592,0.047571,0
0.030861,0.04585,0
0.018446,0.034961,0
0.096786,0.01688,0
0.096603,0.02488,0
0.042991,0.043873,0
0.045801,0.037248,0
0.072009,0.043873,0
0.081458,0.014617,0
0.03258,0.014423,0
0.084396,0.0468,0
0.033617,0.029898,0.013
0.027233,0.036662,0.013
0.023484,0.027249,0.013
0.030754,0.021795,0.013
0.036637,0.03799,0.013
0.043895,0.029898,0.013
0.038645,0.020977,0.013
0.080724,0.031789,0.013
0.073354,0.037351,0.013
0.069072,0.030921,0.013
0.074669,0.021659,0.013
0.087356,0.022309,0.013
0.091852,0.031772,0.013
0.088263,0.039293,0.013
0.079238,0.041627,0.013
0.058411,0.034978,0.013
0.060756,0.045818,0.013
0.05223,0.040645,0.013
0.052341,0.030533,0.013
0.05699,0.024508,0.013
0.065724,0.038543,0.013
0.064172,0.025237,0.013
0.06703,0.016646,0.013
0.059719,0.017781,0.013
0.050538,0.019314,0.013
0.01754,0.017577,0.013
0.025535,0.016841,0.013
0.097245,0.040336,0.013
0.10306,0.047798,0.013
0.019217,0.042125,0.013
0.030861,0.04585,0.013
0.018446,0.034961,0.013
0.012592,0.047571,0.013
0.096786,0.01688,0.013
0.096603,0.02488,0.013
0.042991,0.043873,0.013
0.045801,0.037248,0.013
0.072009,0.043873,0.013
0.081458,0.014617,0.013
0.03258,0.014423,0.013
0.084396,0.0468,0.013
